address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_level,area_bin,area_x_rooms,elevator_high_floor,area_bin_encoded,area_level_encoded,area_level_num,area_bin_num
سعادت‌آباد,60000000000.0,2,175,1403,3,1,1,1,114,342857142.9,1,Luxury,150-200,525,0,1,1,3,4
فاطمی,17400000000.0,3,111,1400,2,1,1,1,169,156756756.8,4,Luxury,100-150,222,0,0,1,3,3
سعادت‌آباد,115000000000.0,6,280,1401,4,1,1,1,114,410714285.7,3,Luxury,200+,1120,1,2,1,3,5
پاسداران,23150000000.0,2,110,1402,2,1,1,1,213,210454545.5,2,Luxury,100-150,220,0,0,1,3,3
خ یکم شرقی,508000000.0,6,113,1402,2,1,1,1,77,4495575.221,2,Low,100-150,226,1,0,0,1,3
شریف,16500000000.0,1,150,1403,3,1,1,1,131,110000000.0,1,Medium,100-150,450,0,0,2,2,3
باغ فیض,8700000000.0,2,95,1388,2,1,1,1,35,91578947.37,16,Medium,50-100,190,0,3,2,2,2
جیحون,4500000000.0,2,74,1373,2,0,1,1,61,60810810.81,31,Low,50-100,148,0,3,0,1,2
باغ فیض,7200000000.0,4,76,1383,2,1,1,1,35,94736842.11,21,Medium,50-100,152,1,3,2,2,2
پونک,23000000000.0,4,150,1398,3,1,1,1,217,153333333.3,6,Luxury,100-150,450,1,0,1,3,3
نواب,4300000000.0,7,82,1383,2,1,1,1,199,52439024.39,21,Low,50-100,164,1,3,0,1,2
جیحون,5000000000.0,0,57,1388,1,0,1,1,61,87719298.25,16,Medium,50-100,57,0,3,2,2,2
خ صد و سی و هشتم,505000000.0,3,110,1401,2,1,1,1,71,4590909.091,3,Low,100-150,220,0,0,0,1,3
شهر زیبا,1300000000.0,2,55,1397,1,1,1,1,134,23636363.64,7,Low,50-100,55,0,3,0,1,2
پاسداران,17000000000.0,5,116,1387,2,1,1,1,213,146551724.1,17,Medium,100-150,232,1,0,2,2,3
جیحون,7000000000.0,3,65,1402,1,1,1,1,61,107692307.7,2,Medium,50-100,65,0,3,2,2,2
شریف,11900000000.0,2,120,1403,3,1,1,1,131,99166666.67,1,Medium,100-150,360,0,0,2,2,3
شهرک ژاندارمری,10200000000.0,1,68,1392,1,1,1,1,152,150000000.0,12,Luxury,50-100,68,0,3,1,3,2
استاد معین,5200000000.0,2,75,1383,2,0,1,1,14,69333333.33,21,Medium,50-100,150,0,3,2,2,2
ظفر,20500000000.0,2,180,1377,4,1,1,1,166,113888888.9,27,Medium,150-200,720,0,1,2,2,4
هروی,13500000000.0,6,105,1400,2,1,1,1,204,128571428.6,4,Medium,100-150,210,1,0,2,2,3
باغ فیض,9300000000.0,1,90,1390,2,1,1,1,35,103333333.3,14,Medium,50-100,180,0,3,2,2,2
هروی,14500000000.0,6,108,1400,2,1,1,1,204,134259259.3,4,Medium,100-150,216,1,0,2,2,3
آبشار تهران,2100000000.0,18,78,1403,2,1,1,1,1,26923076.92,1,Low,50-100,156,1,3,0,1,2
میرداماد,6800000000.0,0,42,1380,1,1,1,0,192,161904761.9,24,Luxury,<50,42,0,4,1,3,1
شریف,11500000000.0,22,175,1403,3,1,1,1,131,65714285.71,1,Medium,150-200,525,1,1,2,2,4
شیوا,3200000000.0,2,51,1392,1,0,1,1,159,62745098.04,12,Medium,50-100,51,0,3,2,2,2
شهران جنوبی,9000000000.0,2,83,1398,2,1,1,1,136,108433734.9,6,Medium,50-100,166,0,3,2,2,2
پونک,7100000000.0,3,80,1386,2,0,1,1,217,88750000.0,18,Medium,50-100,160,0,3,2,2,2
حکمت,19800000000.0,1,110,1402,2,1,1,1,65,180000000.0,2,Luxury,100-150,220,0,0,1,3,3
میرداماد,26500000000.0,2,123,1402,3,1,1,1,192,215447154.5,2,Luxury,100-150,369,0,0,1,3,3
شهر زیبا,2000000000.0,1,75,1400,2,1,1,1,134,26666666.67,4,Low,50-100,150,0,3,0,1,2
سازمان برنامه,23500000000.0,1,165,1397,3,1,1,1,109,142424242.4,7,Medium,150-200,495,0,1,2,2,4
مرزداران,9400000000.0,3,64,1390,1,1,1,1,185,146875000.0,14,Medium,50-100,64,0,3,2,2,2
شهران شمالی,19957000000.0,5,125,1403,3,1,1,1,137,159656000.0,1,Luxury,100-150,375,1,0,1,3,3
سازمان برنامه,7850000000.0,0,67,1382,2,0,1,0,109,117164179.1,22,Medium,50-100,134,0,3,2,2,2
جیحون,7000000000.0,3,64,1402,1,1,1,1,61,109375000.0,2,Medium,50-100,64,0,3,2,2,2
دروس,12900000000.0,5,75,1385,2,1,1,1,90,172000000.0,19,Luxury,50-100,150,1,3,1,3,2
