address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_x_rooms,elevator_high_floor,area_level_num,area_bin_num
جنت‌آباد مرکزی,4870000000,3,60,1383,1,0,1,1,57,81166666.67,21,60,0,2,2
جنت‌آباد شمالی,17000000000,3,138,1397,3,1,1,1,56,123188405.8,7,414,0,2,3
تهران‌سر,12000000000,4,102,1403,2,1,1,1,47,117647058.8,1,204,1,2,3
جنت‌آباد جنوبی,24200000000,3,153,1399,3,1,1,1,55,158169934.6,5,459,0,3,4
دریاچه شهدای خلیج فارس,15000000000,4,143,1400,3,1,1,1,93,104895104.9,4,429,1,2,3
سازمان برنامه,12600000000,1,102,1395,2,1,1,1,109,123529411.8,9,204,0,2,3
هروی,13200000000,3,120,1387,3,0,1,1,204,110000000.0,17,360,0,2,3
کرمان,11500000000,5,100,1403,2,1,1,1,224,115000000.0,1,200,1,2,2
شهرک ژاندارمری,16060000000,5,73,1404,1,1,1,1,152,220000000.0,0,73,1,3,2
دروس,68500000000,4,265,1394,4,1,1,1,90,258490566.0,10,1060,1,3,5
شهرک غرب,65500000000,7,195,1399,3,1,1,1,147,335897435.9,5,585,1,3,4
ستارخان,11000000000,4,88,1395,2,1,1,1,111,125000000.0,9,176,1,2,2
پاسداران,40000000000,2,155,1401,3,1,1,1,213,258064516.1,3,465,0,3,4
گیشا (کوی نصر),21000000000,3,135,1385,3,1,1,1,234,155555555.6,19,405,0,3,3
عباس‌آباد,14500000000,4,125,1392,2,1,1,1,168,116000000.0,12,250,1,2,3
سیدخندان,12000000000,5,95,1385,2,1,1,1,123,126315789.5,19,190,1,2,2
اقدسیه,61700000000,3,245,1396,3,1,1,1,18,251836734.7,8,735,0,3,5
سیدخندان,14000000000,1,115,1383,3,1,1,1,123,121739130.4,21,345,0,2,3
نیاوران,57000000000,4,180,1403,3,1,1,1,200,316666666.7,1,540,1,3,4
تهران‌سر,8150000000,8,109,1403,2,1,1,1,47,74770642.2,1,218,1,2,3
افسریه,11100000000,4,137,1403,3,1,1,0,17,81021897.81,1,411,1,2,3
سازمان برنامه,12300000000,3,90,1394,2,1,1,1,109,136666666.7,10,180,0,2,2
